State,Value
Pennsylvania,8072
Florida,5921
Tennessee,3030
Indiana,2836
Missouri,2724
New Jersey,2417
Louisiana,2344
Arizona,1807
Nevada,1077
Idaho,942
Illinois,723
Delaware,707
California,668
Hawaii,1
